"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Cetcil","Nephromopsis_ciliaris",0.03,1.99,9.75,14.25,6.11,15.84,20.68,24.95,4.29,-14.07,-2.53,8.92,9.01,11.93,24.2,31.45,5.47,696.75,1160,1561.75,306.54,45.5,506.5,673,111.75,12.17,17.3,28.6,4.82,29.6,42.52,370.82,10.33,107.83,159.5,311.25,41.5,2.75,72.75,333.33,180.25,-40.42,-28.55,-8,7.79,32.33,36.98,39.62,2.72,525,848.75,1188.25,391.17,23.75,140.25,464,121.88,58,62,69.25,5.54,55.38,63,68.25,6.62,15.08,20.43,25.05,4.82
"Cetcor","Nephromopsis_coralligera",0,2.62,12.3,17.29,6.67,13.02,20.83,26.04,3.37,-7.59,3.4,8.95,8.56,12.11,18.58,23.23,3.15,362.2,548.5,966.55,208.25,188.38,316,547.42,89.38,13.57,36.48,61.27,12.6,34.06,64.75,119.08,23.6,58,170.5,256.9,80,1,11,323.21,56.41,-41.31,-26.15,-13.26,13.61,30.73,37.3,40.9,3.17,699.65,1217.5,1560.95,578.1,121.45,701.5,1113.2,448.45,45,51,60.95,8.75,29.68,51.41,60.95,14.75,11.42,20.23,25.95,3.7
"Cetmer","Nephromopsis_merrillii",0.07,0.8,6.88,15.54,6.76,12.11,17.15,23.01,5.49,-12.01,-2.36,11.54,9.52,9.99,19.6,25.46,5.62,334.75,701,2054.53,573.94,18.68,187.25,435.85,188.31,8.08,20.9,64.09,18.6,33.12,101.1,1048.47,162.8,67.45,125.5,341.85,80.5,1,149,667.07,283.25,-44.56,-29.5,-5.08,15.82,30.05,36.88,42.71,5.56,456.35,766,1291,403.75,82.25,421.67,939.23,421.12,51.15,60,69,6.81,31.23,46.73,67.55,14.92,10.73,16.24,22.59,5.76
"Cetoak","Cetraria_oakesiana",0.08,2.5,5.7,12.17,3.75,15.94,19,22.29,2.44,-13.65,-8.3,1.85,6.45,18.45,27.02,30.76,6.29,771.52,1162.25,1672.55,308,368.32,497.5,693.41,126.25,8.61,13.5,21,4.8,22.74,36.85,51.28,10.09,104.05,127.25,169.83,26.88,18,228.5,506.5,242.38,-39.8,-34.75,-26,6.36,32.6,35.45,37.98,2.08,572.35,675.75,1100.83,197.62,0,78.75,217.9,114.25,57,61,67.95,4,51.1,60.25,68,5.75,15.26,18.45,21.77,2.69
"Cetorb","Nephromopsis_orbata",0.14,3.33,6.4,11.79,5.51,14.54,17.82,20.4,2.48,-14.7,-4.12,7.14,13.18,9.42,21.62,33.77,12.8,554.5,1038,2339,860.75,120.5,357.67,552.75,208.81,6.7,17.3,29.75,7.91,29.98,48.75,145.97,30.29,95.5,129.83,254.25,89.5,14.75,142.5,598,184.5,-41.85,-30.95,-11.28,20.2,32.5,36.25,39.75,2.92,564.75,702,962.25,125.38,55.5,202.83,503,217.5,55,64,72,8.75,38,59.25,70.75,14,13.39,17.28,20.01,3.17
"Cetpal","Cetraria_pallidula",0.01,5.95,8.2,11.6,4.6,15.3,18.7,21.33,3.25,-3.8,0.3,4.25,5.5,14.95,17.1,21.45,4.78,773.25,1017,1977.5,790.5,86.17,221,332.5,92.75,8.95,18.2,25.41,9.67,48.95,88.25,247.43,60.33,121.75,135.5,192.67,32.5,27.5,156,346.5,202,-30,-24.4,-16.25,8.95,34.9,38.3,41.68,4.25,672.5,835,1132.17,267,255.5,417,745.5,192.25,53.25,61,65.5,6.33,32.5,43.5,49.5,5,14.06,17.7,20.4,3.39
"Cetpla","Cetraria_platyphylla",0.09,2.02,6.68,11.62,4.48,12.24,17.18,20.98,3.6,-7.32,-2.75,5.12,5.85,13.18,20.2,22.56,5.4,448.2,1047,2653.4,990,93.5,254,514.6,154.8,6.65,16.6,38.5,15.8,23,67,217,55.45,80.4,124,244.2,55,19.6,219.75,1004.4,381,-38.16,-29.07,-12.82,10.62,30.1,36.7,40.34,4.7,446.7,730,1030.8,203,5.4,324,643,253.17,52,63,74,8,33,48,68.4,13.5,11.04,16.01,20.21,3.67
"Cetsep","Cetraria_sepincola",0,-10.97,2.9,9.09,11.29,10.28,15.87,20.68,5.33,-30.09,-13.68,-3.03,15.87,19.33,29.6,42.09,10.95,194.5,744.25,1423.2,450.5,107.35,382.5,533.25,236.5,-4.09,14,25.87,10.35,28.16,44,107.5,28.24,71.15,111,151.4,36.38,61.1,183.5,435.4,136.42,-52.59,-40.22,-28.38,13.81,26.02,33.56,38.07,6.82,187.52,539.88,799.77,393.25,4.75,98,369.5,81.25,55.58,64,74,5,45.15,65.75,79.7,10,8.99,15.11,20.45,5.71
"Cetsub","Nephromopsis_subalpina",0,-4.34,4.38,7.73,4.11,8.47,13.75,16.3,2.79,-13.77,-3.42,1.35,5.54,13.54,17.82,23.4,5.05,794.3,1768.5,4025.5,1114.75,221.85,434.67,767.25,238.25,3,7.15,15.25,4.5,12.68,34.1,65.22,20.28,53.85,110.75,163.8,40.5,205.4,676.7,1588.5,453.7,-47.41,-29.67,-20.2,9.92,25.83,32.05,35.4,3.91,209.35,529.73,704.7,182.54,0,104.08,245.57,172.75,61.48,68,74.05,4.25,39.12,56.62,75,12.58,6.85,12.64,15.58,2.87
"Cetvir","Cetraria_viridis",0,8.32,13.8,18.42,2.08,21.04,25.4,27.38,2.02,-5.24,1.8,8.74,2.87,18.08,23.3,25.98,2.77,1074.94,1221,1537.2,151.75,466.7,527.6,690.6,75.29,14.74,19.6,22.36,2.85,35.5,46.7,56.7,5.43,142.2,183,253.8,23,1,12,162.7,10.6,-29.89,-25,-16.86,3.6,36.66,40.8,41.84,2.45,828.8,1179,1426.9,103.75,110.2,207.71,331.93,79.5,57.6,60.5,69.3,3.29,58.1,63,70.4,5,20.82,25.59,29.14,2.84
"Cetweb","Nephromopsis_weberi",0,5.39,10.93,14.4,6.37,15.16,19.7,22.2,3.48,-4.01,2.25,8.23,7.1,11.84,17.8,20.91,2.82,530,743,834,142.91,215.8,323.8,568.4,138.93,20.32,29.83,42.3,4.96,36.36,60.94,91.78,30.4,81.9,153,212.15,74.2,1.7,33,201.46,123.88,-37.15,-28.39,-19.33,13.49,32.67,36.4,38.33,2.53,813.2,1181.71,1535.4,354.99,273.5,561,920.3,145.08,47,49.52,60,7.75,30.85,48,60.88,20.45,13.7,19.19,21.55,4.46
"Claalb","Cladonia_albonigra",0,-7.24,3,10.36,12.85,11.82,14.47,18.46,1.62,-25.6,-6.3,3.94,24.15,11.69,24.1,40.18,23.2,306.8,902,3445.4,1686,188.6,314,1065.6,264,3.96,8.6,23.44,6.95,12.25,45.7,89.6,31.6,87.8,118,213.2,71,49.8,227,684.85,147,-52.3,-31.8,-15.24,29.5,26.06,30,38.14,4.7,215.6,391,837,210,0,76,381.2,115,61.3,72,80,10,49.4,73.5,81,13,11.04,13.76,17.78,1.7
"Clabac","Cladonia_bacillaris",0.03,0.89,8.72,17.29,7.06,14.43,21.55,27.3,5.56,-15.7,-4.2,7.83,9.27,17.49,25.6,33.36,5.88,482,1067,1546.4,375.67,270.3,496.5,627.2,93,9.89,19.28,31.08,5.71,31.42,43.92,73.45,9.39,93.8,152,246.2,52.13,1,84,424,157.42,-42.93,-30.6,-15.57,9.97,31.34,37.85,41.7,4.45,475.1,828,1336,380,30,149,399,121,52.97,61.5,69.07,4,47.9,62,71,6.33,13.63,21.29,29,6.24
"Clabel","Cladonia_bellidiflora",0.02,-11.56,1.7,10.3,11,7.44,13,17.7,3.5,-30.9,-7.8,4.7,22.25,11.48,20.57,39.86,19.6,202.4,1063,3994.56,1877.25,110.2,392,1172.8,305.45,-7.54,7.73,19.49,5.84,10.26,33.4,96,26.9,46.2,108,225.4,80,36,295,1036.8,296.5,-53.18,-36.37,-14.32,22.9,23.44,30.2,37.11,5.25,143.8,370,800.6,238,0,43.6,342,86,59.2,70,80.33,9,51.8,70.33,83,12.25,6.21,12.18,16.98,3.76
"Clacae","Cladonia_caespiticia",0.02,3.66,8.8,18.3,7.03,17.5,21.33,27.4,5.67,-12.14,-3.67,8.37,9.64,18.45,25.03,32.13,6.3,750.45,1157.9,1558.4,357.12,401.55,509,665.65,80.9,12.05,18.7,23.05,5.23,30.93,42.57,53.37,9.1,117.18,153.5,251,48.25,1,85,361,154.79,-39.13,-29.47,-16.9,10.1,33.77,37.61,41.42,3.84,596,829,1400.1,413.5,23,139.17,311.6,120.25,56.18,62,69,4,55,62,69.63,6.12,16.89,21.07,29.13,6.29
"Clacar","Cladonia_carneola",0.01,-8.96,3.7,10.4,6.45,9.9,14.15,20.82,3.5,-26.22,-6.4,3.15,9.8,11.97,21.5,40.11,8.85,256.45,992,3060.5,920.5,105.7,342.5,878.6,241.67,2.74,11.5,27.67,10.5,14.06,42.7,119.04,27.8,52.4,109,192,66.67,47.4,293.43,882.85,423.5,-51.99,-35.6,-16.7,15.6,26.3,31.88,38.13,5.12,207.8,517,869.7,274.62,0,111,465,162.33,49.9,65,78,10,29.7,61,78,21,8.56,13.19,20.65,3.78
"Clacen","Cladonia_cenotea",0,-7.22,2.7,7.6,6.78,10.5,16.15,20.01,4.59,-26.5,-11.9,-2.4,11.82,18.7,29.3,41.2,11.88,279.77,785,1439.5,494.5,156,399,575.1,188.37,5.74,14.1,28.79,7.51,22.77,41.96,97.25,19.5,54,108,146.82,37,88.9,245,599.8,192.5,-51.6,-40.4,-28.26,9.68,26.5,34,38.2,5.12,226,564,791.15,273.25,0,115,369.78,110.25,54,62,73,7,36.77,62.5,75,10,9.39,15.33,19.54,4.89
"Clachl","Cladonia_chlorophaea",0.05,-7.95,5.3,15.1,6.89,10.65,17.9,24.95,5.74,-26.1,-7.4,8.07,11.2,12,25.8,39.88,9.92,259,823,1746.5,549.21,92,401,628.5,232.5,4.07,17.22,42.64,9,24.33,46.05,177.95,24.45,57.83,124.67,259.5,56.05,2.75,153,562.5,214.8,-51.1,-35.55,-12.93,13.8,26.6,35.4,40.86,5.72,225.5,659.54,1273.67,341.62,3.5,150,701.08,175.5,51,61.5,74,7.31,32.83,61.5,76,11,9.48,17.23,25.13,6.43
"Clacon","Cladonia_coniocraea",0.17,-0.5,6.29,15.61,6.44,12.9,18.82,26.03,5.4,-17.67,-5.5,7.21,9.74,13.32,24.5,34.57,8.44,452.65,992.25,2147.35,462.77,172.3,457,686.85,187.42,7.3,17.73,31.7,7.39,22.9,43.77,106.5,13.48,71,136.33,242,54.19,3,150.7,564.87,247.25,-45.1,-32.67,-14.99,11.9,29.1,36.06,40.96,4.44,370.32,698.62,1271.05,290.5,0,150.08,552.83,150.95,52,61.92,75,6.49,35.28,61.71,74.5,9.67,11.65,18.31,27.11,5.87
"Clacri","Cladonia_cristatella",0.01,-1.48,7.56,18.34,7.97,15.2,20.6,27.23,5.71,-19.18,-5.7,8.48,11.41,18.31,26.3,35.44,6.57,633.5,1080,1428.28,387,377,494.9,639,87.5,10.41,18.64,23.37,6.31,30.82,42.9,53.38,9.6,98,144.38,247,54,1,104.5,409.6,207.5,-45.1,-31.7,-16.89,11.15,31.82,37.3,41.09,4.02,405.07,762.33,1397.6,411.5,16.3,138.4,325.9,116.09,57,61.8,69,4.33,56,63.29,71,6,14.47,20.34,28.89,6.27
"Clacyl","Cladonia_cylindrica",0.01,4.4,10.75,19.9,6,18.78,23,27.9,4.72,-11.55,-2,10.48,9.1,17.05,25.1,31.65,5.38,757.25,1127,1536.25,316.5,401.5,513,690.75,80.75,14.19,19.65,23,2.9,34.55,45.2,54.45,7.69,121.75,168.5,289.75,40.88,0,53.25,234,104.25,-38.55,-28.05,-13.28,8.17,35.27,38.7,41.52,3.02,658.75,903,1444,367.19,54.5,176,324.25,98.25,56.19,62,67.25,4,56.5,63,69.5,6,18.22,22.99,30.16,5.22
"Cladef","Cladonia_deformis",0,-9.4,0,6.85,7.57,9.4,14.8,19.5,4.03,-27.1,-15.6,-3.3,13.7,17.6,31.62,40.8,10.6,262,785,1508,422,154,404,623.67,177,1.5,11.9,22.8,7.5,20.8,38.9,83.7,16.4,49,99,141,32.5,103,285,660,208.5,-52.4,-43.9,-29.8,8.9,26,32.4,36.8,4.7,203,434.5,727,271,0,78,281.5,112,53.44,63,73,6.5,35,65,77.5,9.33,8.3,13.95,19.12,4.43
"Cladid","Cladonia_didyma",0,7.25,15.85,22.52,7.38,19.21,26,28.1,5.07,-6.6,5.7,16.18,9.75,11.22,19.4,27.98,5.8,918.15,1300.5,1662.47,245.88,476.85,581.5,880.07,208.88,13.56,20.2,25,4.49,29.45,42.55,52.47,12.07,135.55,221,330.45,107.68,0,2.5,143.85,22,-33.31,-19.7,-5.93,11.59,33.92,39.3,41.4,2.12,755.55,1267.25,1577.1,410.38,44.61,210.88,415.08,153.39,58.78,62,70,4.07,57.55,65.38,73.45,5.08,18.74,27.12,30.89,7.19
"Clafim","Cladonia_fimbriata",0.03,-6.9,5.3,13.59,5.93,11.3,17.3,23.3,5.14,-26,-6.54,6.68,9.64,12.2,23.95,39.09,10.6,272.33,822.45,2064.1,583.38,89.05,326.83,626.86,251.54,4.35,16.55,47.09,10.09,23.7,49.83,219.45,39.56,58,123.86,239.97,52,9,173,563.66,230.75,-50.9,-35.2,-13.21,12.54,26.7,35.36,41,5.6,227.15,669,1178.75,306.94,0,166.2,720.32,273.79,49,61.58,74.69,8.75,28.05,59.5,77,19.65,10.15,16.53,23.17,5.83
"Clafur","Cladonia_furcata",0,-3.1,8.6,16.78,6.8,12.5,19.4,26.5,6.6,-19.98,-2.14,9.48,10.5,9.94,24.2,34.96,8.97,422.4,1147,2583.6,422.5,153,489.25,773.6,175,5.94,17.35,25.7,7.5,19.8,44.05,109.68,13.31,92.4,159,282.6,62,1,93,414,196.62,-47.7,-28.2,-11.24,12.9,27.77,36.33,41.4,5,331.3,768,1297.6,416,1.52,149,465.6,139.33,56.4,62.5,76,6.5,50.7,63,77.67,7.67,11.59,18.94,27.69,7.15
"Clagra","Cladonia_grayi",0.01,-1.54,9.4,17.27,7.58,14.02,21.8,27.28,6,-17.38,-3.1,7.62,8.92,17.46,25,35.2,5.62,610.1,1118,1593.8,364.29,342,502,679.2,98,8.52,19.08,23.08,5.53,29.02,44.5,54.98,9.6,101,158.25,243.6,50.4,1,79,386.2,156.33,-44.58,-29,-17.01,9.35,29.71,37.9,41.59,4.4,367.2,854.67,1355.4,459.17,9.2,150,315.8,120,56.8,62,71.8,4,55,63,73.8,6,13.2,21.66,28.86,6.68
"Clamac","Cladonia_macilenta",0.02,2.35,7.9,19.9,6.32,14.24,19.65,27.5,4.5,-14.52,-3.1,11.1,12.3,9.63,24.4,33.12,10.95,476,1097,2041.9,499,99.84,472,753.29,161,8.42,18.6,37.42,6.5,28.03,44,193.34,12.45,108,149,318.3,70.75,0,98.2,402.4,185.5,-41.88,-29.4,-7.86,16.1,30.92,36.7,41.2,3.8,471.2,759.25,1421.2,354.5,8.3,155.5,631.3,170,55,62.75,74,6,46.3,63,75,8,13.72,19.24,29.32,4.98
"Clanor","Cladonia_norvegica",0,0.48,4.8,10.49,3.4,13.07,15.7,19.15,2.9,-14.96,-3.2,3.48,6.25,13.84,19.4,34.05,5.7,685.9,1395.6,2981,1066,205.25,374,641,225.75,5.54,10.65,23.96,6.3,20.03,40.7,86.98,27.39,74.95,122,204.9,42.5,52.6,346,715.45,301,-43.55,-29.4,-17.39,13.6,29.63,33.7,38.28,4.44,410.2,586,922.4,176.25,0,150,459.1,159.25,54.43,68,72.9,8,33.3,59,73.3,13.25,11.62,15.13,18.71,3.2
"Clapar","Cladonia_parasitica",0.01,3.64,11.42,20.34,7.9,18.16,23.38,27.8,5.8,-13.1,-0.65,11.9,11.01,15.86,24.33,31.84,7,778.95,1177.58,1544.8,278.75,410.8,522,782,84.5,13.46,19.2,23.55,4.39,33.09,43,51.64,8.73,119.32,174,307.7,67.15,0,34.75,297.82,130.58,-39.04,-27.07,-10.7,11,34.78,38.55,41.3,3.38,630.85,936.75,1454.98,472.5,51.62,155.5,343.87,114.75,57,62,69,3.94,55.83,63.37,72.35,6.46,17.74,23.56,30.23,7.32
"Clapex","Cladonia_peziziformis",0,6.89,13.65,20.79,6.94,20.18,25.56,28,3.9,-8.45,1.69,12.64,10.28,14.48,23.32,29.9,6.81,817,1175.5,1543.72,308.33,434.85,539.33,792.72,96.75,15.98,20.7,25.3,2.9,34.39,45.81,56.43,8.4,139.47,185,309.12,69.25,0,11.12,138,46.45,-35.62,-25.16,-10.44,11.14,36.48,39.98,42.3,2.28,725.85,1156.5,1507.83,440,83.89,207.12,403.15,134.83,57.75,61.88,68,3,57.95,64,71.57,4.75,19.79,25.82,30.55,5.45
"Claple","Cladonia_pleurota",0,-9.11,4.9,14,9.8,9.9,17.65,25.5,7.48,-26.21,-8.2,2.8,13.4,15.39,26.86,39.2,8.62,261.6,952,2233.25,493.5,148.85,460.42,692.5,164,2.09,14.55,22.51,10.39,18.79,41.87,77,15.02,62,124,190.05,55,11,186,684.22,214.12,-51.52,-35.21,-22.89,15.31,26,34.89,41.1,7.3,195.83,621.75,1187.65,456.25,0,106.42,291.1,113.81,56.66,63,75,7,50,64,79,9,8.69,16.94,25.73,8.1
"Clapyx","Cladonia_pyxidata",0.01,-10.88,5.4,15.28,7.52,8.94,18.2,25.22,7.1,-27.6,-7.4,7.44,11.74,13.02,26.1,39.54,10,222,765.33,1605.4,549,91.2,360.67,597.4,250,-3.22,18.12,51.02,10.95,24.12,48.79,179.84,29.2,49.27,124.5,237.8,63,2,144,536.6,197,-52.6,-35.9,-13.74,14.4,25,35.5,41.74,7.1,177.4,673,1284.4,412.5,17,160,733.4,220.6,50,61,75,9,31,61.86,79,14.11,7.89,17.53,25.43,7.66
"Claram","Cladonia_ramulosa",0,3.37,9.1,20.24,6.8,16.92,22.07,27.7,5.5,-13.78,-3.8,11.56,8,14.76,25.3,32.7,5,599.2,1109.5,1561.8,385,347.6,506,806.8,92,12.48,19.8,26.82,4.1,32.4,43.6,60.23,9.4,113,157,299.4,48,0,76,301.2,120.33,-41.17,-29.9,-11.86,9.35,34.56,38.5,41.42,3.3,583.6,854,1526.2,418,59.2,156,388.8,121.33,55,61,69.4,5,51,63,70,6,16.15,21.96,29.8,6.11
"Clarei","Cladonia_rei",0,1.74,6.82,12.36,3.83,15.1,20.2,24.36,3.4,-15.46,-7.2,0.2,6.62,19.71,27.83,34.23,5,548.1,858.75,1359.95,316.12,265.8,469.25,581.95,96.25,9.9,19.32,33.49,5.25,32.28,43.88,73.64,9.5,106.7,140,182.65,29,22.35,111.5,371.65,111.25,-42.59,-33.77,-25.71,7.57,32.2,37.4,41.1,3.22,486.13,743.5,989.3,181,22.05,138.5,423.9,88.62,54.61,61,69,6,50,62,71,6.62,14.18,19.85,24.59,3.73
"Clasqu","Cladonia_squamosa",0.05,-5.35,5.93,16.85,6.6,11.53,18.45,26.58,6.37,-23.9,-5.82,7.72,11.87,12.12,25.1,36.75,10.1,491.25,1128.5,2915.08,527.25,198.45,487,884.55,151.83,4.81,14.85,23.15,8.85,16.73,40.08,78.35,12.91,82,136,260.55,54.75,2,181.5,624.54,276,-47.6,-31.93,-13.49,13.6,26.68,35.47,40.58,5.73,262,666.25,1331.95,378.83,0,108.75,346.47,134.75,57,63,76.59,8,52,64,78,9,10.59,18.03,27.85,6.61
"Classq","Cladonia_squamosa_v_subsquamosa",0.01,4.59,8.9,13.61,3.7,13.62,15.9,19.08,2.9,-6.5,3,9.02,5,7.34,13.1,25.12,4.1,701.6,1728,3391.8,1225.83,55.2,359,810.2,281,5.36,11.3,34.28,9.3,18.54,45.3,325.02,60.6,111.2,204,334,64,3.2,107,638.87,183,-34,-16.1,-6.62,9.67,30.58,34.4,38.26,3.8,437.1,663,986.2,279,0,201,524.6,281,63.2,70.5,81,7,49.33,67,79.27,13,12.27,14.99,18.57,2.7
"Clasul","Cladonia_sulphurina",0.01,-8.51,0.2,5.91,7.05,9.88,13.7,18.3,3.3,-26.74,-12.65,-2.24,14.97,15.78,27.3,41.02,14.3,249.9,715.33,2506.9,563,140.7,334.5,725.2,198,2.79,11.72,27.08,8.8,17.36,41.43,93.38,28.27,46.82,92,141.4,37.17,109,293,882.5,277,-52.6,-43,-27.54,10.1,25.7,30.92,36.61,5.1,205.8,404.33,708.2,247,0,91.78,345.6,144.5,51.16,63,75,9,28.7,64,79,18,8.55,12.75,17.58,3.61
"Clatra","Cladonia_transcendens",0.03,3.49,8.95,12.39,4.02,13.3,16.35,20.47,3.46,-8.35,2.24,7.95,5.62,7.75,14.5,22.6,3.69,647.52,1739.5,3686.65,1241.5,83.62,292,1032.45,253.29,4.73,10.82,29.37,9.04,13.54,58.55,224.1,69.12,101.1,180,273.8,76.15,10.28,120.17,630.35,324.33,-36.84,-18.9,-9.78,10.29,29.71,34.59,40.55,5.01,425.1,712.6,1075.55,253.29,0,244,645.25,286.6,58.27,68.25,77.63,8.44,41.66,59,76,18.25,12.47,15.76,19.71,3.36
"Claumb","Cladonia_umbricola",0.02,-2.04,5.53,11.44,3.44,12.29,15.21,19.01,3.49,-18.71,-2.5,5.83,5.51,10.64,17.67,31.12,7.55,411.65,1184.75,3307.55,1384.21,107.85,338.5,1118.7,279.38,4.51,12.4,27.67,11.19,11.68,46.37,172.08,34.3,72.85,127.5,228.5,49.75,22.7,278,832.15,302.75,-49,-28,-13.17,12.72,28.34,33.05,39.14,6.55,342.35,596.17,939.45,319.75,0,148,528.1,262.25,56,66,79,12.25,31,61,79,27.38,11.29,14.32,18.36,3.3
"Claver","Cladonia_verruculosa",0,1.47,8.06,13.6,4.75,12.03,16.9,21.88,4.32,-7.98,0.02,7.92,6.93,9.06,15.93,24.05,7.43,450.71,1115,2948.1,1050.94,59.55,264.5,608.45,192.12,5.52,13.89,42.25,13.61,22.82,63.58,321.66,63.44,86.95,162.5,281.19,81,8.55,135.75,595.15,277,-39.47,-22.7,-9.26,14.3,27.59,35.65,41.98,6.09,341.4,719.5,1069.35,212.5,0,280.25,749.97,319.75,55,65.67,79.69,11.25,36,54.5,78.17,23.12,10.67,15.86,21.36,4.16
"Cndcon","Candelaria_concolor",0.16,3.46,9.8,19,6.95,16.2,22.7,27.6,5.3,-13.64,-3.1,10.2,9.98,13.28,25.9,33.52,7.74,369.4,876.5,1416.85,489.99,55.4,472,607,158.05,13.5,21.48,60.47,8.29,34.59,48.7,423.7,15.88,112.45,161.14,288.1,51,0.47,44.5,275.2,94,-41.5,-29.8,-10.69,11.07,33.69,39.6,43.43,3.7,600.7,919,1448.35,429.58,78.05,210.4,961.55,228.42,51,60,67.82,6,41,62,68.77,7.44,15.31,22.48,29.25,5.88
"Cndfib","Candelaria_fibrosa",0,4.1,9.8,18.4,7.3,18.96,23.7,27.8,4.88,-13.59,-4.4,8.36,11.3,18.94,28,33.96,6.33,574.4,874,1337.6,365,377.13,497.5,594,110,17.38,21.4,32.42,5.1,39.14,46.1,62.72,9.2,120,161,244,46.75,1,43,184.4,82.5,-40.9,-31.6,-17.34,10.75,36.23,40.3,43.52,2.75,662.9,922,1416.4,435.5,91.8,189.5,548.8,127,55,59.5,64.6,3,56,62,67,5,18.37,23.76,29.71,5.55
"Cndpac","Candelaria_pacifica",0.02,5.25,14.45,17.98,4.97,15.02,22.33,26.7,3.45,-2.86,7,13.02,7.8,9.28,16.6,22.7,7,160.9,458,1116.8,385.42,13,42,205.4,49.17,17.61,55.44,177.62,45.3,82.88,590.8,1990.16,780.62,111,242.5,360.6,106.67,0,5.67,174.23,25.33,-30.12,-13.82,-1.57,11.85,33.54,41.4,45.46,4.2,737.2,1206,1566.2,324,360.6,866.5,1396.4,283.55,49.7,57.5,68.73,8,32.9,50,70.8,11.67,13.75,21.96,27.17,3.87
"Cocery","Coccocarpia_erythroxyli",0,11.06,19.52,24.03,3.62,15.55,27.4,28.3,2.33,0.59,10.5,18.71,4.24,8.33,16.7,24.09,5.22,494.48,1300.75,1640.05,565.25,341.13,681,934.85,244.69,16.44,23.1,58.22,6.5,26.62,39.13,67.94,12.1,162.45,284,348.92,73.12,0,0,23.3,1,-26.86,-14.23,1.8,7.87,30.65,39.65,43.48,1.96,1019.15,1472.62,1797.8,145.25,60.05,284.12,1212.15,278.25,47.93,62,72,6,55,66.75,75.4,5,14.68,29.21,31.78,4.27
"Cocpal","Coccocarpia_palmicola",0,9.1,16.6,22.03,5.35,17.38,26.4,28.3,2.95,-2.74,6.9,15.7,7.6,8.52,19.35,25.24,4.6,534.6,1275.67,1636.93,285,383.6,558,847.8,135,13.16,20.7,48.85,4.95,28.12,45.3,70.91,13.3,152.6,225,330.4,92.6,0,2,87.6,9,-28.24,-19.1,-4.36,10.05,33.76,40.2,43.31,2.4,831.8,1333,1646,265,55.4,270.8,1107.05,188.5,51,61,71,4,55,64,74.57,6,17.09,27.51,30.94,4.77
"Colcon","Enchylium_conglomeratum",0,3.7,13.35,20.6,9.23,18.75,24.98,28.23,6.04,-13.98,1.23,13.07,14.39,13.43,23.8,33.37,8.1,385.5,1049.5,1471.75,521.33,221.25,491,767.92,128.25,14.21,20.89,53.8,6.97,32.65,48.22,105.53,18.82,118.25,180.5,317.75,90.5,0,13.5,235.5,62,-41.17,-26.15,-7.75,16.65,35.06,40.3,43.48,3.5,638.75,1149,1566.75,535.83,63.5,247,878.75,262.25,52,59,65.75,5,44,61.25,69.75,7,17.8,25.04,30.47,7.98
"Colcur","Collema_curtisporum",0,-4.06,6,10.18,5.66,10.83,17.26,19.66,4.16,-19.79,-3.73,2.87,5.59,17.58,20.96,35.43,1.09,610.1,1064.47,1819.75,532.88,104.38,314.25,496.07,226.5,5.59,13.08,27.43,9.35,22.6,55.17,207.7,68.34,67.45,119.7,169,37.46,104.05,321.17,746.6,220.22,-47.77,-30.67,-19.18,10.94,27.2,36.34,39.29,7.76,298.2,713.15,910.25,357.63,29,272.9,518.3,348.9,58.73,62,66,3.3,36.58,48.25,65.7,11.12,9.4,16.23,18.75,4.08
"Colfur","Collema_furfuraceum",0.02,-1.32,10.97,19.8,9.06,12.84,20.36,27.72,8.61,-15.48,1.52,12.43,11.62,8.52,20.45,32.62,7.6,377,871,1817.25,661.88,29.81,377.75,774.6,289.14,7.47,20.65,60.33,14.94,28.2,49.8,684.23,57.2,71.5,172.5,329.88,101.19,0,28.5,456,150.88,-45.97,-25.5,-6.02,18.01,28.15,37.47,43.04,5.95,336.38,997.5,1486.75,562.62,30,268.5,900.75,510.5,50.75,60.69,73.16,7.12,37.88,60.83,75,15.06,11.82,19.7,29.96,9.41
